[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-06-08 17:18:19.478] [FETCH]... ↓ https://news.ifeng.com/c/8tmycvead4H                                                                 | ✓ | ⏱: 3.16s 
[2026-06-08 17:18:19.533] [SCRAPE].. ◆ https://news.ifeng.com/c/8tmycvead4H                                                                 | ✓ | ⏱: 0.05s 
[2026-06-08 17:18:19.541] [COMPLETE] ● https://news.ifeng.com/c/8tmycvead4H                                                                 | ✓ | ⏱: 3.22s 
[2026-06-08 17:18:21.620] [FETCH]... ↓ https://news.ifeng.com/c/8tmrYIXSZDx                                                                 | ✓ | ⏱: 3.28s 
[2026-06-08 17:18:21.677] [SCRAPE].. ◆ https://news.ifeng.com/c/8tmrYIXSZDx                                                                 | ✓ | ⏱: 0.06s 
[2026-06-08 17:18:21.687] [COMPLETE] ● https://news.ifeng.com/c/8tmrYIXSZDx                                                                 | ✓ | ⏱: 3.35s 
[2026-06-08 17:18:23.840] [FETCH]... ↓ https://news.ifeng.com/c/8tn47brENEH                                                                 | ✓ | ⏱: 3.13s 
[2026-06-08 17:18:23.907] [SCRAPE].. ◆ https://news.ifeng.com/c/8tn47brENEH                                                                 | ✓ | ⏱: 0.07s 
[2026-06-08 17:18:23.920] [COMPLETE] ● https://news.ifeng.com/c/8tn47brENEH                                                                 | ✓ | ⏱: 3.21s 
[2026-06-08 17:18:24.423] [FETCH]... ↓ https://v.ifeng.com/c/8tn8QmwmNUh                                                                    | ✓ | ⏱: 2.71s 
[2026-06-08 17:18:24.475] [SCRAPE].. ◆ https://v.ifeng.com/c/8tn8QmwmNUh                                                                    | ✓ | ⏱: 0.05s 
[2026-06-08 17:18:24.489] [COMPLETE] ● https://v.ifeng.com/c/8tn8QmwmNUh                                                                    | ✓ | ⏱: 2.78s 
[2026-06-08 17:21:07.498] [INIT].... → Crawl4AI 0.8.6 
[2026-06-08 17:21:09.085] [FETCH]... ↓ https://wallstreetcn.com/articles/3774049                                                            | ✓ | ⏱: 1.57s 
[2026-06-08 17:21:09.096] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774049                                                            | ✓ | ⏱: 0.01s 
[2026-06-08 17:21:09.097] [COMPLETE] ● https://wallstreetcn.com/articles/3774049                                                            | ✓ | ⏱: 1.58s 
[2026-06-08 17:21:10.145] [FETCH]... ↓ https://wallstreetcn.com/articles/3774049                                                            | ✓ | ⏱: 1.04s 
[2026-06-08 17:21:10.185] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774049                                                            | ✓ | ⏱: 0.04s 
[2026-06-08 17:21:10.192] [COMPLETE] ● https://wallstreetcn.com/articles/3774049                                                            | ✓ | ⏱: 1.08s 
[2026-06-08 17:21:11.354] [FETCH]... ↓ https://wallstreetcn.com/articles/3774048                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:21:11.359] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774048                                                            | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:11.361] [COMPLETE] ● https://wallstreetcn.com/articles/3774048                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:21:11.593] [FETCH]... ↓ https://wallstreetcn.com/articles/3774047                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:21:11.599] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774047                                                            | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:11.600] [COMPLETE] ● https://wallstreetcn.com/articles/3774047                                                            | ✓ | ⏱: 0.90s 
[2026-06-08 17:21:12.261] [FETCH]... ↓ https://wallstreetcn.com/articles/3774048                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:21:12.314] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774048                                                            | ✓ | ⏱: 0.05s 
[2026-06-08 17:21:12.321] [COMPLETE] ● https://wallstreetcn.com/articles/3774048                                                            | ✓ | ⏱: 0.95s 
[2026-06-08 17:21:12.497] [FETCH]... ↓ https://wallstreetcn.com/articles/3774047                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:21:12.530] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774047                                                            | ✓ | ⏱: 0.03s 
[2026-06-08 17:21:12.537] [COMPLETE] ● https://wallstreetcn.com/articles/3774047                                                            | ✓ | ⏱: 0.93s 
[2026-06-08 17:21:13.931] [FETCH]... ↓ https://wallstreetcn.com/articles/3774056                                                            | ✓ | ⏱: 0.88s 
[2026-06-08 17:21:13.937] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774056                                                            | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:13.939] [COMPLETE] ● https://wallstreetcn.com/articles/3774056                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:21:14.915] [FETCH]... ↓ https://wallstreetcn.com/articles/3774056                                                            | ✓ | ⏱: 0.97s 
[2026-06-08 17:21:14.942] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774056                                                            | ✓ | ⏱: 0.03s 
[2026-06-08 17:21:14.949] [COMPLETE] ● https://wallstreetcn.com/articles/3774056                                                            | ✓ | ⏱: 1.00s 
[2026-06-08 17:21:14.983] [FETCH]... ↓ https://wallstreetcn.com/articles/3774038                                                            | ✓ | ⏱: 1.01s 
[2026-06-08 17:21:14.988] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774038                                                            | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:14.991] [COMPLETE] ● https://wallstreetcn.com/articles/3774038                                                            | ✓ | ⏱: 1.02s 
[2026-06-08 17:21:15.896] [FETCH]... ↓ https://wallstreetcn.com/articles/3774038                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:21:15.920] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774038                                                            | ✓ | ⏱: 0.02s 
[2026-06-08 17:21:15.926] [COMPLETE] ● https://wallstreetcn.com/articles/3774038                                                            | ✓ | ⏱: 0.93s 
[2026-06-08 17:21:17.926] [FETCH]... ↓ https://wallstreetcn.com/articles/3774055                                                            | ✓ | ⏱: 1.00s 
[2026-06-08 17:21:17.931] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774055                                                            | ✓ | ⏱: 0.01s 
[2026-06-08 17:21:17.933] [COMPLETE] ● https://wallstreetcn.com/articles/3774055                                                            | ✓ | ⏱: 1.01s 
[2026-06-08 17:21:17.949] [FETCH]... ↓ https://wallstreetcn.com/articles/3774067                                                            | ✓ | ⏱: 0.91s 
[2026-06-08 17:21:17.954] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774067                                                            | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:17.956] [COMPLETE] ● https://wallstreetcn.com/articles/3774067                                                            | ✓ | ⏱: 0.92s 
[2026-06-08 17:21:18.860] [FETCH]... ↓ https://wallstreetcn.com/articles/3774067                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:21:18.970] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774067                                                            | ✓ | ⏱: 0.11s 
[2026-06-08 17:21:18.976] [COMPLETE] ● https://wallstreetcn.com/articles/3774067                                                            | ✓ | ⏱: 1.01s 
[2026-06-08 17:21:19.022] [FETCH]... ↓ https://wallstreetcn.com/articles/3774055                                                            | ✓ | ⏱: 1.08s 
[2026-06-08 17:21:19.052] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774055                                                            | ✓ | ⏱: 0.03s 
[2026-06-08 17:21:19.059] [COMPLETE] ● https://wallstreetcn.com/articles/3774055                                                            | ✓ | ⏱: 1.11s 
[2026-06-08 17:21:20.809] [FETCH]... ↓ https://wallstreetcn.com/articles/3774087                                                            | ✓ | ⏱: 0.94s 
[2026-06-08 17:21:20.816] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774087                                                            | ✓ | ⏱: 0.01s 
[2026-06-08 17:21:20.817] [COMPLETE] ● https://wallstreetcn.com/articles/3774087                                                            | ✓ | ⏱: 0.95s 
[2026-06-08 17:21:20.830] [FETCH]... ↓ https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 0.99s 
[2026-06-08 17:21:20.836] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:20.837] [COMPLETE] ● https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 1.00s 
[2026-06-08 17:21:21.747] [FETCH]... ↓ https://wallstreetcn.com/articles/3774087                                                            | ✓ | ⏱: 0.92s 
[2026-06-08 17:21:21.770] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774087                                                            | ✓ | ⏱: 0.02s 
[2026-06-08 17:21:21.777] [COMPLETE] ● https://wallstreetcn.com/articles/3774087                                                            | ✓ | ⏱: 0.95s 
[2026-06-08 17:21:21.949] [FETCH]... ↓ https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 1.10s 
[2026-06-08 17:21:21.973] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 0.02s 
[2026-06-08 17:21:21.979] [COMPLETE] ● https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 1.13s 
[2026-06-08 17:21:23.541] [FETCH]... ↓ https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.96s 
[2026-06-08 17:21:23.547] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:23.548] [COMPLETE] ● https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.97s 
[2026-06-08 17:21:24.107] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 2.11s 
[2026-06-08 17:21:24.111] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:24.112] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 2.12s 
[2026-06-08 17:21:24.463] [FETCH]... ↓ https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.90s 
[2026-06-08 17:21:24.486] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.02s 
[2026-06-08 17:21:24.491] [COMPLETE] ● https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.93s 
[2026-06-08 17:21:25.886] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 1.76s 
[2026-06-08 17:21:25.927] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:21:25.934] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 1.81s 
[2026-06-08 17:21:26.687] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 1.77s 
[2026-06-08 17:21:26.691] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:21:26.693] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 1.77s 
[2026-06-08 17:21:28.462] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 1.76s 
[2026-06-08 17:21:28.511] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 0.05s 
[2026-06-08 17:21:28.520] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 1.82s 
[2026-06-08 17:21:29.764] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329942                                                  | ✓ | ⏱: 1.76s 
